id,saleprice
2658,127710.73283343692
2718,198945.85602405603
2414,192263.47272293697
1989,119652.62033824871
625,187392.25641481316
333,88539.29699555042
1327,114551.3230844627
858,148693.65158248585
95,200951.0874531841
1568,170648.0620755225
2482,166099.78746397622
1364,121583.73472595293
2584,162493.1104311689
818,287137.4134544428
2673,180102.82353388332
2089,147241.4411579497
1297,156060.93240547864
790,116119.56114202818
2616,207313.59425738698
720,178187.73917005895
222,143556.26613103546
557,119954.3484835073
1148,204684.97781475246
2766,178453.86654625015
534,194454.4578274031
1452,115160.65883271766
630,154743.3796465847
2648,123679.40972032642
125,140527.88847235913
1904,55018.95224269423
1670,112438.8080619907
756,96005.58680466065
717,232624.9152256297
1032,152828.95452550668
852,220533.2433456296
1731,172303.01644867676
2639,126219.26663253372
2071,95281.85011815756
1267,126903.02097455857
1851,201279.52893645983
567,166335.18789550188
2439,210342.09464996384
1898,160031.01587842335
647,174178.6009425624
2256,225405.58665192753
979,115970.92776804446
1444,217374.1285839231
2485,111004.12245188956
157,119833.33547988154
88,119142.68050494898
2003,98124.95864214418
186,196024.6897183165
1425,254531.24658446177
2695,121871.98778860335
738,106496.53944571155
395,146969.35172597575
1353,165852.00273714814
1878,159727.8227097144
390,163822.71336589087
1456,227672.08342466975
1103,309870.1476296483
1387,113754.79542775752
2070,162973.1668066447
1199,170134.49650438366
2479,174408.4797617406
501,321047.85825464176
2362,90081.33167571701
1718,220028.71536725835
2188,67969.97317873476
1483,155420.04520323843
2557,93708.57715089052
437,321508.59071102994
2224,221362.74058051012
1628,184115.9514594325
397,129226.63466405486
587,201951.8234852547
2182,490453.56524870335
971,171687.0903528533
2611,148687.16589272604
1887,92642.98389297657
2399,346076.7800969457
2148,218186.1263234241
304,119104.15039743387
1997,132545.8724554966
2817,117869.92706506336
1431,191152.1091618649
427,369756.63061498525
263,119803.98468477145
598,169598.49823711286
2895,243658.34765791337
687,163181.1954693209
1822,129248.99098680107
2191,109416.82095425675
179,127945.71542822139
1009,220459.74186795775
2010,117027.33550896068
1991,143464.67393824662
1411,155388.23591355
1721,253190.34811200653
1144,184596.6983728967
593,200060.99292586057
575,307540.0898817793
1249,205914.5416639803
1604,120345.65772075532
1064,418684.9215781378
1923,162910.97862288944
1988,96156.89924150088
2325,167004.18660890107
114,188611.89719769114
2700,185174.87695207848
217,151980.2071566103
343,181380.14411802517
386,233491.9671445365
2005,124363.44923453627
2908,142176.76552664253
1814,209304.12110816478
2446,426537.7799936608
208,149192.58761955058
1679,105591.90171580193
822,328895.66787685954
6,179851.0151825993
1781,369713.8085192322
2397,270806.4262528329
2340,309056.4473032899
1618,158831.5518084583
2843,145853.83263230795
1061,336979.68868668133
2786,116379.38324432977
1935,124389.8917484508
1341,125628.02433983813
521,264035.6972289329
2136,138219.3673767965
996,191707.05068877473
227,157010.7020235516
135,163555.05433475817
1167,170475.02737850047
294,248024.4883668549
1776,204819.4156080938
540,185716.66629917006
1717,220028.71536725835
2303,114628.66195186833
116,185420.84630194595
127,124676.21981774966
1371,123831.7523393758
1014,179727.9709424902
1507,102196.90682056533
702,141994.28742558107
750,137996.2149786415
261,148278.9329009866
1559,61869.860430295914
577,246559.77576674515
2812,202686.7729081843
2080,147291.2117022347
1368,117533.52872980881
2376,114837.37089518612
659,109244.42224755933
1235,118457.68034061525
332,77919.22558813784
1917,131917.99779333128
2094,256627.27180405488
1460,264796.38135499443
1471,198112.06684279622
1509,118504.78582456941
1922,128413.50162728841
433,452607.6966615411
460,313358.35899900174
1116,244057.9120700402
1137,167577.2367816852
53,168308.4797758627
2354,251353.86308078934
1475,204236.97997637978
1761,470055.7641497273
842,146080.06253416842
2739,164072.2427175285
2509,170832.68040940294
1007,211040.67143783293
2610,181789.27515652953
1952,76274.92767811284
2719,196620.74551777806
2921,88523.40350929977
1966,132145.3479527398
292,125580.23961334051
1204,196227.46892188812
1829,275353.836795882
2419,183239.79331781543
391,166676.8262850801
798,115912.81420569697
481,192487.9636915513
193,211079.06629849965
555,117683.96049064116
899,78460.28252650776
2357,178200.64464971333
328,109902.18999407468
1356,124722.97835986015
1154,108675.65536485134
1730,182700.56890488623
2249,145286.34370691146
1119,249624.51361138548
2856,132467.13494126598
1394,150999.82303161905
2587,137609.86603225404
61,344856.9967038599
2661,178917.0266546661
2711,128118.86325969973
1147,178870.47657896412
757,129541.39140100311
2623,91993.16822868418
2378,150562.894975979
1413,145232.69930763904
1722,236331.12384374958
1112,218424.6203907022
1623,185924.4176612742
1201,185442.2378415385
1513,112541.12137878496
957,241337.84547102332
1171,244224.81978946255
1145,189423.12148459518
2726,252964.87351781022
703,163000.3425367663
760,70607.61883604986
1964,128987.852033882
2512,185768.1131624751
159,156965.25551420578
1281,179722.74710021183
468,182230.09678900495
290,116756.39791972404
665,99817.95156621082
1463,262610.79465866124
1792,218126.38896632753
923,154477.37351485796
500,294854.3691754768
1408,169847.55129387806
331,64258.300584801196
170,143254.72972295753
2192,92196.81190843685
2571,283615.36547542026
2314,166233.3116339113
2647,79859.4737330476
422,400807.9805289889
2457,338658.8807402961
1838,240321.7341507931
2805,244731.05383506417
1645,157503.42589763348
1711,281078.8019489647
2825,279337.3830116001
322,345811.26304929896
2103,259235.90593365388
342,119585.8023199527
600,102095.09491831266
488,191529.5278781011
1725,343365.1740591719
2246,255721.5040447772
2847,177719.07844589077
806,229810.86452585444
530,232744.86657333066
963,189894.47572883219
2678,85031.34529442928
171,83145.21429373986
2401,405019.70357497793
805,213221.53671503646
2259,257663.95447055507
1748,187039.38626579972
1361,130556.39389387288
1677,115769.28621157589
1406,155677.09485264012
2322,249864.25727612898
688,171799.61820671216
143,136393.16679203
804,203684.09132724197
1214,188651.04625540113
2828,155702.3412714652
1999,194063.12528352073
2467,197973.2939312606
2665,154175.44728318724
1538,345362.91056615475
398,108140.0196525924
2822,134737.3589600512
2157,146413.88791072567
1856,205485.18121343278
1269,102994.37354538769
2570,119710.38094876625
2320,234587.83481473557
